time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),et0_fao_evapotranspiration (mm),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation_instant (W/m²)
2023-01-01T00:00,17.4,92,0,4.8,0,0.183,0
2023-01-01T01:00,16.7,95,0,6.2,0,0.183,0
2023-01-01T02:00,16.8,96,0,6.1,0,0.183,0
2023-01-01T03:00,15.7,98,0,6.4,0,0.183,0
2023-01-01T04:00,16.6,98,0,7.9,0,0.183,0
2023-01-01T05:00,16.8,97,0,7.4,0,0.183,0
2023-01-01T06:00,16.8,98,0,6.3,0.01,0.183,3.5
2023-01-01T07:00,17.6,94,0,6,0.03,0.183,107.5
2023-01-01T08:00,19.2,89,0,5.7,0.11,0.183,236
2023-01-01T09:00,20.7,82,0,7.2,0.16,0.183,271.4
2023-01-01T10:00,21.1,79,0,4.7,0.12,0.183,175.3
2023-01-01T11:00,22.5,74,0.2,3.7,0.25,0.184,384
2023-01-01T12:00,23.6,67,0,5.2,0.3,0.184,429.8
2023-01-01T13:00,24.4,63,0,4.3,0.32,0.183,444.7
2023-01-01T14:00,24.7,61,0,4,0.27,0.183,345
2023-01-01T15:00,24.6,61,0,5.2,0.2,0.183,217.5
2023-01-01T16:00,23.2,71,0,4,0.08,0.183,57.8
2023-01-01T17:00,20.9,77,0,6.8,0.04,0.189,0
2023-01-01T18:00,20.4,78,0,6.1,0.01,0.189,0
2023-01-01T19:00,19.3,84,0,5.9,0,0.189,0
2023-01-01T20:00,19.1,83,0,7.4,0,0.189,0
2023-01-01T21:00,18.6,84,0,8.4,0.01,0.189,0
2023-01-01T22:00,18,85,0,8.5,0,0.189,0
2023-01-01T23:00,17.5,86,0,7.9,0,0.189,0
2023-01-02T00:00,17.2,87,0,7.7,0,0.189,0
2023-01-02T01:00,16.5,90,0,6.1,0,0.189,0
2023-01-02T02:00,16.1,92,0,5.9,0,0.189,0
2023-01-02T03:00,15.9,93,0,7,0,0.189,0
2023-01-02T04:00,15.7,93,0,7.8,0,0.189,0
2023-01-02T05:00,15.5,94,0,5.6,0,0.189,0
2023-01-02T06:00,15.4,94,0,5.6,0.01,0.189,3.6
2023-01-02T07:00,17.1,86,0,5.9,0.04,0.189,120
2023-01-02T08:00,19.1,77,0,4.2,0.13,0.189,281.7
2023-01-02T09:00,21.3,69,0,4.8,0.24,0.189,439.6
2023-01-02T10:00,23.1,61,0,6,0.34,0.188,560.2
2023-01-02T11:00,24.3,57,0,4.1,0.4,0.188,615.9
2023-01-02T12:00,25.3,53,0,4.4,0.42,0.187,604.3
2023-01-02T13:00,25.7,50,0,5.8,0.36,0.186,463.6
2023-01-02T14:00,25.6,49,0,7,0.27,0.186,298
2023-01-02T15:00,25.2,49,0,8.2,0.21,0.185,188.3
2023-01-02T16:00,23.8,57,0,5,0.09,0.185,52.3
2023-01-02T17:00,20.9,67,0,7.3,0.05,0.197,0
2023-01-02T18:00,20.4,68,0,6.6,0.02,0.197,0
2023-01-02T19:00,19.7,70,0,7.1,0.02,0.197,0
2023-01-02T20:00,19,72,0,7.4,0.02,0.197,0
2023-01-02T21:00,18.6,73,0,8.2,0.02,0.197,0
2023-01-02T22:00,18,76,0,8.1,0.01,0.197,0
2023-01-02T23:00,17.2,79,0,7.7,0.01,0.197,0
2023-01-03T00:00,16.7,80,0,7.9,0.01,0.197,0
2023-01-03T01:00,16.2,82,0,8.2,0.01,0.197,0
2023-01-03T02:00,15.8,83,0,8.7,0.01,0.197,0
2023-01-03T03:00,15.3,85,0,8,0,0.197,0
2023-01-03T04:00,14.8,87,0,7.4,0,0.197,0
2023-01-03T05:00,14.7,94,0,5.9,0,0.191,0
2023-01-03T06:00,14.6,95,0,7.2,0.01,0.191,3.7
2023-01-03T07:00,16.1,88,0,10.5,0.04,0.191,122.1
2023-01-03T08:00,18.3,78,0,8.3,0.13,0.191,295.8
2023-01-03T09:00,20.7,69,0,8.3,0.25,0.191,461.4
2023-01-03T10:00,22.8,60,0,7.7,0.35,0.19,580.7
2023-01-03T11:00,24.1,53,0,8.4,0.42,0.189,637.6
2023-01-03T12:00,24.8,49,0,10.5,0.45,0.189,626.1
2023-01-03T13:00,25.1,46,0,11.6,0.42,0.188,547
2023-01-03T14:00,25,45,0,13.1,0.36,0.187,411.4
2023-01-03T15:00,24.4,45,0,13.8,0.27,0.187,238.6
2023-01-03T16:00,22.9,51,0,8.7,0.13,0.186,66.8
2023-01-03T17:00,19.9,64,0,7.7,0.06,0.177,0
2023-01-03T18:00,19,69,0,7.5,0.02,0.177,0
2023-01-03T19:00,18.2,73,0,7.7,0.02,0.177,0
2023-01-03T20:00,17.3,79,0,7,0.01,0.177,0
2023-01-03T21:00,16.6,83,0,7.1,0,0.177,0
2023-01-03T22:00,16.3,84,0,8.2,0,0.177,0
2023-01-03T23:00,15.7,86,0,7.9,0,0.177,0
2023-01-04T00:00,15.1,90,0,7.7,0,0.177,0
2023-01-04T01:00,14.8,91,0,7.4,0,0.177,0
2023-01-04T02:00,14.4,92,0,7.5,0,0.177,0
2023-01-04T03:00,14.3,92,0,8.1,0,0.177,0
2023-01-04T04:00,14.1,92,0,9.4,0,0.177,0
2023-01-04T05:00,13.7,95,0,8.3,0,0.174,0
2023-01-04T06:00,13.4,95,0,6.9,0.01,0.174,3.7
2023-01-04T07:00,14.7,89,0,9.4,0.04,0.174,122.5
2023-01-04T08:00,16.6,80,0,9.7,0.13,0.174,296
2023-01-04T09:00,18.8,71,0,8,0.23,0.174,461.5
2023-01-04T10:00,20.8,62,0,8.4,0.33,0.174,579.8
2023-01-04T11:00,22.5,55,0,11.2,0.41,0.173,634.7
2023-01-04T12:00,23.6,49,0,14,0.44,0.173,621.4
2023-01-04T13:00,24,48,0,15.8,0.42,0.172,543.6
2023-01-04T14:00,23.9,49,0,15.5,0.35,0.172,409.1
2023-01-04T15:00,23.2,51,0,14.6,0.25,0.172,237.5
2023-01-04T16:00,21.9,56,0,10.2,0.13,0.172,67.6
2023-01-04T17:00,19.3,67,0,8.9,0.06,0.18,0
