time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),et0_fao_evapotranspiration (mm),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation_instant (W/m²)
2023-01-01T00:00,10.6,96,0,8.3,0,0.238,0
2023-01-01T01:00,10.4,97,0,7.6,0,0.239,0
2023-01-01T02:00,10.3,96,0,6.6,0,0.239,0
2023-01-01T03:00,10,95,0,6.7,0,0.239,0
2023-01-01T04:00,9.9,94,0,6.6,0,0.239,0
2023-01-01T05:00,8.7,98,0,7.8,0,0.238,0
2023-01-01T06:00,9.1,97,0,6,0,0.239,0
2023-01-01T07:00,9.8,97,0,5.6,0.01,0.239,25.2
2023-01-01T08:00,11.9,91,0,6.1,0.05,0.239,179.1
2023-01-01T09:00,14.4,82,0,4.1,0.14,0.239,348
2023-01-01T10:00,17,74,0,4.2,0.24,0.238,486.7
2023-01-01T11:00,18.6,67,0,3.8,0.32,0.238,569.8
2023-01-01T12:00,19.7,63,0,2.6,0.35,0.237,589.8
2023-01-01T13:00,20.4,60,0,2.3,0.35,0.236,542.5
2023-01-01T14:00,20.6,58,0,2.7,0.29,0.236,434.8
2023-01-01T15:00,20.5,57,0,3.7,0.21,0.235,282.7
2023-01-01T16:00,19.5,75,0,3.2,0.1,0.235,114.3
2023-01-01T17:00,16.6,75,0,5.4,0.03,0.242,0
2023-01-01T18:00,13.6,87,0,7.6,0,0.242,0
2023-01-01T19:00,12.6,90,0,8.3,0,0.242,0
2023-01-01T20:00,11.6,92,0,8.7,0,0.243,0
2023-01-01T21:00,10.7,94,0,9.3,0,0.243,0
2023-01-01T22:00,10.1,95,0,9,0,0.243,0
2023-01-01T23:00,9.4,96,0,8.8,0,0.243,0
2023-01-02T00:00,9.1,97,0,8.3,0,0.243,0
2023-01-02T01:00,8.6,97,0,9.4,0,0.243,0
2023-01-02T02:00,8.6,97,0,8.6,0,0.244,0
2023-01-02T03:00,9.1,97,0,6.8,0,0.244,0
2023-01-02T04:00,8.6,97,0,8,0,0.244,0
2023-01-02T05:00,7.7,97,0,5.1,0,0.245,0
2023-01-02T06:00,8,97,0,5.1,0,0.245,0
2023-01-02T07:00,8.6,97,0,2.9,0.01,0.246,27.6
2023-01-02T08:00,11.1,89,0,3.8,0.05,0.246,185.2
2023-01-02T09:00,14.1,78,0,2.8,0.15,0.246,356.6
2023-01-02T10:00,16.1,69,0,3.2,0.24,0.245,495.8
2023-01-02T11:00,17.5,62,0,2.9,0.32,0.245,580.4
2023-01-02T12:00,18.5,58,0,2.9,0.35,0.244,599
2023-01-02T13:00,19.1,54,0,2.9,0.34,0.243,551.3
2023-01-02T14:00,19.4,53,0,2.7,0.29,0.243,443.2
2023-01-02T15:00,19.2,52,0,2.7,0.21,0.242,289.7
2023-01-02T16:00,18,75,0,2.7,0.1,0.242,118.8
2023-01-02T17:00,16.6,62,0,4.6,0.04,0.254,0
2023-01-02T18:00,15.8,65,0,4.2,0.01,0.254,0
2023-01-02T19:00,12.8,78,0,6.9,0,0.254,0
2023-01-02T20:00,10.6,87,0,8.9,0,0.254,0
2023-01-02T21:00,9.6,91,0,9.4,0,0.254,0
2023-01-02T22:00,9.2,93,0,7.2,0,0.254,0
2023-01-02T23:00,8.7,94,0,7.3,0,0.255,0
2023-01-03T00:00,8.6,95,0,7.2,0,0.255,0
2023-01-03T01:00,8.1,96,0,7.9,0,0.255,0
2023-01-03T02:00,7.5,96,0,10.5,0,0.255,0
2023-01-03T03:00,7.7,96,0,8.6,0,0.255,0
2023-01-03T04:00,7.2,97,0,8.2,0,0.255,0
2023-01-03T05:00,7,98,0,5.2,0,0.254,0
2023-01-03T06:00,7.2,97,0,4.6,0,0.254,0
2023-01-03T07:00,7.2,99,0,3.6,0.01,0.255,25.3
2023-01-03T08:00,9.8,92,0,4.1,0.05,0.255,181.1
