time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),et0_fao_evapotranspiration (mm),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation_instant (W/m²)
2023-01-01T00:00,20,98,0,7.7,0,0.292,0
2023-01-01T01:00,19.4,100,0,8.1,0,0.293,0
2023-01-01T02:00,19,100,0,7.4,0,0.293,0
2023-01-01T03:00,19,100,0,6.3,0,0.293,0
2023-01-01T04:00,19.9,99,0,4.3,0,0.294,0
2023-01-01T05:00,20.7,99,0,6.1,0,0.292,0
2023-01-01T06:00,21,99,0,6.6,0,0.292,0
2023-01-01T07:00,21.3,99,0,6.6,0.02,0.293,72.3
2023-01-01T08:00,21.9,98,0,6.1,0.08,0.293,177.5
2023-01-01T09:00,24.5,83,0,7.4,0.22,0.292,388.3
2023-01-01T10:00,26.3,75,0,6.6,0.4,0.29,646.5
2023-01-01T11:00,27.7,67,0,7,0.52,0.288,777.3
2023-01-01T12:00,28.9,59,0,8.6,0.6,0.285,843.4
2023-01-01T13:00,29.5,55,0,9.7,0.6,0.282,793.4
2023-01-01T14:00,29.5,55,0,10.8,0.54,0.28,673.6
2023-01-01T15:00,29.2,54,0,11.1,0.41,0.278,455.9
2023-01-01T16:00,28.7,56,0,10.1,0.3,0.276,290.2
2023-01-01T17:00,27.1,65,0,7,0.13,0.274,78.7
2023-01-01T18:00,25,71,0,7.1,0.05,0.274,0
2023-01-01T19:00,24.3,76,0,9.8,0.03,0.274,0
2023-01-01T20:00,22.9,85,0,7.7,0,0.274,0
2023-01-01T21:00,22,92,0,6.8,0,0.274,0
2023-01-01T22:00,21.6,95,0,6.9,0,0.275,0
2023-01-01T23:00,21.4,95,0,7.3,0,0.275,0
2023-01-02T00:00,21.3,96,0,7.2,0,0.275,0
2023-01-02T01:00,20.8,97,0,6.1,0,0.276,0
2023-01-02T02:00,20,98,0,7.7,0,0.276,0
2023-01-02T03:00,19.3,99,0,9.2,0,0.276,0
2023-01-02T04:00,19,99,0,7.8,0,0.277,0
2023-01-02T05:00,19.9,99,0,6.2,0,0.278,0
2023-01-02T06:00,20.6,98,0,5.2,0,0.278,0
2023-01-02T07:00,22.2,94,0,6.9,0.03,0.279,95.8
2023-01-02T08:00,24.1,88,0,6.6,0.15,0.279,335.5
2023-01-02T09:00,25.7,77,0.1,11,0.31,0.279,546.1
2023-01-02T10:00,27.1,68,0,12.3,0.42,0.277,652.2
2023-01-02T11:00,28.3,62,0,11.8,0.5,0.275,720.2
2023-01-02T12:00,29.3,57,0,12.1,0.57,0.272,772.4
2023-01-02T13:00,29.7,52,0,12.8,0.56,0.27,708.6
2023-01-02T14:00,29.7,49,0,13,0.5,0.267,578.7
2023-01-02T15:00,29.5,49,0,13.8,0.45,0.265,488.3
2023-01-02T16:00,28.4,56,0,11.9,0.29,0.264,261.5
2023-01-02T17:00,26.5,65,0,9.9,0.14,0.262,81
2023-01-02T18:00,24.7,71,0,10.5,0.06,0.262,0
2023-01-02T19:00,23.9,77,0,9.7,0.02,0.262,0
2023-01-02T20:00,23.1,83,0,8.4,0.01,0.262,0
2023-01-02T21:00,22.3,88,0,6.3,0,0.262,0
2023-01-02T22:00,21.7,92,0,5.9,0,0.263,0
2023-01-02T23:00,21.2,94,0,6.4,0,0.263,0
2023-01-03T00:00,20.7,95,0,6.3,0,0.263,0
2023-01-03T01:00,20.4,96,0,6.5,0,0.264,0
2023-01-03T02:00,20,97,0,7,0,0.264,0
2023-01-03T03:00,20,98,0,5.2,0,0.264,0
2023-01-03T04:00,20.2,97,0,5.6,0,0.265,0
2023-01-03T05:00,20.6,98,0,6.6,0,0.266,0
2023-01-03T06:00,20.9,98,0,5,0,0.266,0
2023-01-03T07:00,22,94,0,6.9,0.03,0.266,110.7
2023-01-03T08:00,24,87,0,7,0.14,0.266,308.1
2023-01-03T09:00,25.9,76,0.1,11.3,0.3,0.266,523
2023-01-03T10:00,26.6,72,0.2,15.3,0.39,0.266,618.5
2023-01-03T11:00,27.4,67,0.1,15.9,0.48,0.265,729.8
2023-01-03T12:00,27.9,64,0.1,16.8,0.54,0.263,775.6
2023-01-03T13:00,27.9,62,0.1,15,0.46,0.262,597.6
2023-01-03T14:00,28.6,58,0.1,14.3,0.52,0.26,661.2
2023-01-03T15:00,28.7,55,0,14.5,0.44,0.258,496.5
2023-01-03T16:00,28.1,57,0,14.2,0.3,0.257,274.2
2023-01-03T17:00,26.5,64,0,9.7,0.14,0.255,75.2
2023-01-03T18:00,24.6,71,0,7.4,0.05,0.255,0
2023-01-03T19:00,23.5,77,0,7.4,0.01,0.255,0
2023-01-03T20:00,22.8,81,0,7.5,0.01,0.255,0
2023-01-03T21:00,22.3,85,0,7.2,0,0.255,0
2023-01-03T22:00,21.9,88,0,7.1,0,0.256,0
2023-01-03T23:00,21.6,90,0,7.2,0,0.256,0
2023-01-04T00:00,21.3,91,0,6.9,0,0.256,0
2023-01-04T01:00,21.1,92,0,6.8,0,0.256,0
2023-01-04T02:00,20.8,93,0,7.2,0,0.257,0
2023-01-04T03:00,20.8,94,0,8,0,0.257,0
2023-01-04T04:00,20.6,95,0,8.3,0,0.257,0
2023-01-04T05:00,20.8,96,0,7.3,0,0.26,0
2023-01-04T06:00,21,95,0,8,0,0.26,0
2023-01-04T07:00,22,90,0,8.2,0.03,0.26,115.1
2023-01-04T08:00,23.7,84,0,9.7,0.15,0.26,328.4
2023-01-04T09:00,25.6,73,0.2,13,0.31,0.261,546.7
2023-01-04T10:00,26.5,69,0.1,14.8,0.4,0.26,637.3
2023-01-04T11:00,27.5,63,0.1,15.5,0.48,0.259,704.9
2023-01-04T12:00,28.7,58,0.1,16,0.57,0.257,787.9
2023-01-04T13:00,29.3,53,0,16.3,0.55,0.254,687.8
2023-01-04T14:00,29.6,50,0,16.8,0.55,0.252,649.5
2023-01-04T15:00,29.3,51,0,17.1,0.43,0.25,445.6
2023-01-04T16:00,28.2,56,0,16.6,0.31,0.248,266.9
2023-01-04T17:00,26.2,67,0,12.9,0.15,0.252,77
2023-01-04T18:00,24.7,74,0,9.3,0.05,0.252,0
2023-01-04T19:00,23.1,83,0,5.6,0,0.252,0
2023-01-04T20:00,22.4,87,0,5.8,0,0.253,0
2023-01-04T21:00,22.1,89,0,6.9,0,0.253,0
2023-01-04T22:00,21.6,92,0,6.5,0,0.253,0
2023-01-04T23:00,21.2,93,0,6.5,0,0.253,0
2023-01-05T00:00,20.9,94,0,6.1,0,0.254,0
2023-01-05T01:00,20.7,95,0,6.5,0,0.254,0
2023-01-05T02:00,20.7,95,0,6.8,0,0.254,0
2023-01-05T03:00,20.6,95,0,7.6,0,0.255,0
2023-01-05T04:00,20.6,95,0,7.6,0,0.255,0
2023-01-05T05:00,20.4,95,0,5.9,0,0.254,0
2023-01-05T06:00,20.8,95,0,7.9,0,0.254,0
