time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),et0_fao_evapotranspiration (mm),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation_instant (W/m²)
2023-01-01T00:00,22.5,96,0.1,4.8,0,0.066,0
2023-01-01T01:00,22,97,0,5.9,0,0.066,0
2023-01-01T02:00,21.6,97,0,4.7,0,0.066,0
2023-01-01T03:00,21.4,98,0,4.2,0,0.066,0
2023-01-01T04:00,21,98,0,5.2,0,0.066,0
2023-01-01T05:00,22.6,94,0,2.2,0,0.067,0
2023-01-01T06:00,22.3,98,0,3.7,0,0.067,0
2023-01-01T07:00,22.8,97,0,3.8,0.02,0.067,97.4
2023-01-01T08:00,23.8,86,0.5,6.4,0.1,0.073,189.2
2023-01-01T09:00,24.5,84,0.1,5.6,0.16,0.074,256.5
2023-01-01T10:00,25.8,79,0,4.5,0.27,0.074,412.7
2023-01-01T11:00,27.5,72,0,5,0.44,0.074,652.7
2023-01-01T12:00,28.1,69,0,7.9,0.48,0.073,678.7
2023-01-01T13:00,28.1,68,0.2,10.3,0.46,0.075,617.5
2023-01-01T14:00,27.2,70,0.3,12.5,0.35,0.077,444.8
2023-01-01T15:00,26.6,72,0,9.5,0.23,0.076,253.7
2023-01-01T16:00,26.1,76,0,10.2,0.16,0.076,144.1
2023-01-01T17:00,25.6,78,0,10.2,0.06,0.067,0
2023-01-01T18:00,24.8,82,0,7.4,0.01,0.067,0
2023-01-01T19:00,23.9,89,0,5.8,0,0.067,0
2023-01-01T20:00,24.6,84,0,4.8,0,0.067,0
2023-01-01T21:00,24.3,85,0,2.6,0,0.067,0
2023-01-01T22:00,22.8,93,0,3,0,0.067,0
2023-01-01T23:00,22.4,95,0,3.7,0,0.067,0
2023-01-02T00:00,22,97,0,6.7,0,0.067,0
2023-01-02T01:00,22,92,0.4,4.2,0,0.07,0
2023-01-02T02:00,22.1,93,0,2.8,0,0.07,0
2023-01-02T03:00,21.2,97,0,4,0,0.07,0
2023-01-02T04:00,21.1,98,0,4.4,0,0.07,0
2023-01-02T05:00,21.9,92,0,3.3,0,0.065,0
2023-01-02T06:00,21.3,96,0,4.2,0,0.065,0
2023-01-02T07:00,22.6,91,0,7.7,0.03,0.065,106.2
2023-01-02T08:00,24.9,78,0,7,0.15,0.065,275.6
2023-01-02T09:00,26,72,0.2,6.1,0.27,0.066,450.9
2023-01-02T10:00,26.8,69,0.2,7.2,0.37,0.068,563.5
2023-01-02T11:00,27.1,66,0.1,10,0.42,0.069,608.4
2023-01-02T12:00,27.3,64,0,10.7,0.41,0.069,564.6
2023-01-02T13:00,27.3,64,0.1,10.3,0.44,0.069,590
2023-01-02T14:00,27,65,0.1,11.7,0.36,0.069,441.4
2023-01-02T15:00,26.5,66,0,12.1,0.3,0.069,337.2
2023-01-02T16:00,26,69,0,10.2,0.18,0.069,152.1
2023-01-02T17:00,25.3,72,0,7.2,0.06,0.067,0
2023-01-02T18:00,24.5,76,0,3.7,0,0.067,0
2023-01-02T19:00,23.9,81,0,5.1,0,0.067,0
2023-01-02T20:00,23.7,83,0,4.5,0,0.067,0
2023-01-02T21:00,22.9,89,0,5.2,0,0.067,0
2023-01-02T22:00,22.4,92,0,5,0,0.067,0
2023-01-02T23:00,22,93,0,4.7,0,0.067,0
2023-01-03T00:00,21.9,92,0,5,0,0.067,0
2023-01-03T01:00,21.9,92,0,6,0,0.067,0
2023-01-03T02:00,21.7,92,0,6.4,0,0.067,0
2023-01-03T03:00,21.5,91,0,8.5,0,0.067,0
2023-01-03T04:00,21.2,90,0,8.4,0,0.067,0
2023-01-03T05:00,21,93,0,9,0,0.066,0
2023-01-03T06:00,21,92,0,9.4,0,0.066,0
